id,city,team1,team2,winner
1,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad
2,Rajkot,Defunct,Kolkata Knight Riders,Kolkata Knight Riders
3,Indore,Punjab Kings,Defunct,Punjab Kings
4,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru
5,Hyderabad,Sunrisers Hyderabad,Defunct,Sunrisers Hyderabad
6,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
7,Indore,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings
8,Pune,Defunct,Delhi Capitals,Delhi Capitals
9,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
10,Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
11,Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians
12,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
13,Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals
14,Mumbai,Mumbai Indians,Defunct,Mumbai Indians
15,Delhi,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
16,Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
17,Rajkot,Defunct,Royal Challengers Bengaluru,Royal Challengers Bengaluru
18,Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
19,Indore,Punjab Kings,Mumbai Indians,Mumbai Indians
20,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians
21,Rajkot,Defunct,Punjab Kings,Punjab Kings
22,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders
23,Pune,Defunct,Kolkata Knight Riders,Kolkata Knight Riders
24,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
25,Chandigarh,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
26,Chandigarh,Punjab Kings,Delhi Capitals,Punjab Kings
27,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
28,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians
29,Delhi,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
30,Delhi,Delhi Capitals,Defunct,Delhi Capitals
31,Bangalore,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings
32,Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians
33,Bangalore,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
34,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
35,Chandigarh,Punjab Kings,Kolkata Knight Riders,Punjab Kings
36,Kanpur,Defunct,Delhi Capitals,Delhi Capitals
37,Mumbai,Mumbai Indians,Punjab Kings,Punjab Kings
38,Delhi,Delhi Capitals,Defunct,Delhi Capitals
39,Kanpur,Defunct,Sunrisers Hyderabad,Sunrisers Hyderabad
40,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
41,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
42,Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
43,Bangalore,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
44,Hyderabad,Mumbai Indians,Defunct,Mumbai Indians
45,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
46,Chandigarh,Delhi Capitals,Punjab Kings,Punjab Kings
47,Kolkata,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
48,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
49,Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
50,Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals
51,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
52,Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
53,Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals
54,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
55,Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals
56,Chandigarh,Punjab Kings,Chennai Super Kings,Punjab Kings
57,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
58,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians
59,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
60,Chandigarh,Punjab Kings,Sunrisers Hyderabad,Punjab Kings
61,Pune,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
62,Kolkata,Kolkata Knight Riders,Punjab Kings,Punjab Kings
63,Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
64,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
65,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
66,Delhi,Punjab Kings,Delhi Capitals,Punjab Kings
67,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
68,Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings
69,Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
70,Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
71,Pune,Chennai Super Kings,Mumbai Indians,Mumbai Indians
72,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
73,Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
74,Pune,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
75,Bengaluru,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru
76,Delhi,Delhi Capitals,Rajasthan Royals,Delhi Capitals
77,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
78,Indore,Punjab Kings,Mumbai Indians,Mumbai Indians
79,Pune,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings
80,Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
81,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
82,Indore,Rajasthan Royals,Punjab Kings,Punjab Kings
83,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad
84,Jaipur,Rajasthan Royals,Punjab Kings,Rajasthan Royals
85,Kolkata,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
86,Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
